name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m133,cpu,utilization,"time                 machine_id
2017-11-05 01:54:00  m133          78.131666667
                     m133                 82.87
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:55:00  m133                38.825
                     m133          81.833333333
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:56:00  m133          41.333333333
                     m133          47.016666667
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:57:00  m133          83.383333333
                     m133                 38.85
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:58:00  m133                 82.18
                     m133          28.146666667
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:59:00  m133           82.9
                     m133          73.05
Name: cpu_util, dtype: object",82.58,81.92,82.943333333,83.2,83.37,82.958333333,81.965,44.18
