name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m40,cpu,utilization,"time                 machine_id
2017-11-05 01:53:00  m40            83.1
                     m40           39.25
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:54:00  m40           83.111666667
                     m40           68.888333333
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:55:00  m40                  78.16
                     m40           82.516666667
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:56:00  m40           41.133333333
                     m40                   83.6
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:57:00  m40           56.058333333
                     m40           83.183333333
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:58:00  m40           83.1
                     m40           83.1
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:59:00  m40           83.09
                     m40           83.35
Name: cpu_util, dtype: object",82.04,45.745,27.885,75.306666667,82.405,83.183333333,83.3
