name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m305,cpu,utilization,"time                 machine_id
2017-11-05 01:53:00  m305          80.513333333
                     m305                 73.45
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:54:00  m305          40.041666667
                     m305          83.538333333
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:55:00  m305          44.756666667
                     m305          47.216666667
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:56:00  m305          83.766666667
                     m305                  40.0
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:57:00  m305          79.808333333
                     m305                 76.75
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:58:00  m305                 39.85
                     m305          83.528333333
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:59:00  m305                 40.42
                     m305          48.233333333
Name: cpu_util, dtype: object",39.36,76.3,83.308333333,46.306666667,40.6,78.141666667,63.295
