name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m393,cpu,utilization,"time                 machine_id
2017-11-05 01:54:00  m393                 82.76
                     m393          82.556666667
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:55:00  m393          76.916666667
                     m393                  82.6
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:56:00  m393                40.725
                     m393          47.016666667
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:57:00  m393          44.558333333
                     m393                  34.4
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:58:00  m393                 83.48
                     m393          73.806666667
Name: cpu_util, dtype: object","time                 machine_id
2017-11-05 01:59:00  m393          81.71
                     m393           82.4
Name: cpu_util, dtype: object",83.1,83.3,83.381666667,82.966666667,81.88,80.286666667,46.015,51.34
