,acc,f1,precision,recall,tnr,tpr,fpr,fnr
Agg_GB0_1_257=263.pickle,0.8805460750853242,0.8813559322033899,0.8754208754208754,0.8873720136518771,0.8737201365187713,0.8873720136518771,0.12627986348122866,0.11262798634812286
Agg_GB0_2_259=356.pickle,0.8890784982935154,0.8900169204737733,0.8825503355704698,0.8976109215017065,0.8805460750853242,0.8976109215017065,0.11945392491467577,0.10238907849829351
Agg_GB0_3_266=536.pickle,0.8839590443686007,0.8855218855218854,0.8737541528239202,0.8976109215017065,0.8703071672354948,0.8976109215017065,0.1296928327645051,0.10238907849829351
Agg_GB1_1_197=126.pickle,0.8839590443686007,0.8847457627118643,0.8787878787878788,0.8907849829351536,0.8771331058020477,0.8907849829351536,0.12286689419795221,0.10921501706484642
Agg_GB1_2_194=164.pickle,0.8856655290102389,0.88663282571912,0.8791946308724832,0.89419795221843,0.8771331058020477,0.89419795221843,0.12286689419795221,0.10580204778156997
Agg_GB1_3_202=245.pickle,0.8873720136518771,0.8885135135135136,0.8795986622073578,0.8976109215017065,0.8771331058020477,0.8976109215017065,0.12286689419795221,0.10238907849829351
Agg_GB2_1_200=161.pickle,0.8447098976109215,0.8465430016863407,0.8366666666666667,0.856655290102389,0.8327645051194539,0.856655290102389,0.16723549488054607,0.14334470989761092
Agg_GB2_2_205=207.pickle,0.8395904436860068,0.8395904436860068,0.8395904436860068,0.8395904436860068,0.8395904436860068,0.8395904436860068,0.16040955631399317,0.16040955631399317
Agg_GB2_3_209=314.pickle,0.841296928327645,0.8447412353923205,0.826797385620915,0.863481228668942,0.8191126279863481,0.863481228668942,0.18088737201365188,0.13651877133105803
ColSampling_GB3_smf_col-0.2-fbs_32=293.pickle,0.8856655290102389,0.8858603066439523,0.8843537414965986,0.8873720136518771,0.8839590443686007,0.8873720136518771,0.11604095563139932,0.11262798634812286
ColSampling_GB3_smf_col-0.2-fls_37=318.pickle,0.8856655290102389,0.88663282571912,0.8791946308724832,0.89419795221843,0.8771331058020477,0.89419795221843,0.12286689419795221,0.10580204778156997
ColSampling_GB3_smf_col-0.4-fbs_39=624.pickle,0.8873720136518771,0.8885135135135136,0.8795986622073578,0.8976109215017065,0.8771331058020477,0.8976109215017065,0.12286689419795221,0.10238907849829351
ColSampling_GB3_smf_col-0.4-fls_65=620.pickle,0.8890784982935154,0.8896434634974533,0.8851351351351351,0.89419795221843,0.8839590443686007,0.89419795221843,0.11604095563139932,0.10580204778156997
ColSampling_GB3_smf_col-0.6-fbs_51=800.pickle,0.8805460750853242,0.8825503355704698,0.8679867986798679,0.8976109215017065,0.863481228668942,0.8976109215017065,0.13651877133105803,0.10238907849829351
ColSampling_GB3_smf_col-0.6-fls_103=778.pickle,0.8839590443686007,0.8843537414965986,0.8813559322033898,0.8873720136518771,0.8805460750853242,0.8873720136518771,0.11945392491467577,0.11262798634812286
ColSampling_GB3_smf_col-0.8-fbs_65=905.pickle,0.8873720136518771,0.886986301369863,0.8900343642611683,0.8839590443686007,0.8907849829351536,0.8839590443686007,0.10921501706484642,0.11604095563139932
ColSampling_GB3_smf_col-0.8-fls_166=873.pickle,0.8839590443686007,0.8847457627118643,0.8787878787878788,0.8907849829351536,0.8771331058020477,0.8907849829351536,0.12286689419795221,0.10921501706484642
ColSampling_GB4_smf_col-0.2-fbs_24=254.pickle,0.8822525597269625,0.8824531516183987,0.8809523809523809,0.8839590443686007,0.8805460750853242,0.8839590443686007,0.11945392491467577,0.11604095563139932
ColSampling_GB4_smf_col-0.2-fls_27=376.pickle,0.5443686006825939,0.675577156743621,0.5245283018867924,0.9488054607508533,0.13993174061433447,0.9488054607508533,0.8600682593856656,0.051194539249146756
ColSampling_GB4_smf_col-0.4-fbs_28=471.pickle,0.8873720136518771,0.887372013651877,0.8873720136518771,0.8873720136518771,0.8873720136518771,0.8873720136518771,0.11262798634812286,0.11262798634812286
ColSampling_GB4_smf_col-0.4-fls_60=604.pickle,0.8873720136518771,0.888135593220339,0.8821548821548821,0.89419795221843,0.8805460750853242,0.89419795221843,0.11945392491467577,0.10580204778156997
ColSampling_GB4_smf_col-0.6-fbs_38=780.pickle,0.8890784982935154,0.889267461669506,0.8877551020408163,0.8907849829351536,0.8873720136518771,0.8907849829351536,0.11262798634812286,0.10921501706484642
ColSampling_GB4_smf_col-0.6-fls_98=807.pickle,0.8907849829351536,0.8915254237288135,0.8855218855218855,0.8976109215017065,0.8839590443686007,0.8976109215017065,0.11604095563139932,0.10238907849829351
ColSampling_GB4_smf_col-0.8-fbs_49=951.pickle,0.8805460750853242,0.8809523809523809,0.8779661016949153,0.8839590443686007,0.8771331058020477,0.8839590443686007,0.12286689419795221,0.11604095563139932
ColSampling_GB4_smf_col-0.8-fls_162=1012.pickle,0.8907849829351536,0.891156462585034,0.888135593220339,0.89419795221843,0.8873720136518771,0.89419795221843,0.11262798634812286,0.10580204778156997
ColSampling_GB7_smf_col-0.2-fbs_17=196.pickle,0.8856655290102389,0.8862478777589136,0.8817567567567568,0.8907849829351536,0.8805460750853242,0.8907849829351536,0.11945392491467577,0.10921501706484642
ColSampling_GB7_smf_col-0.2-fls_24=197.pickle,0.8822525597269625,0.8828522920203735,0.8783783783783784,0.8873720136518771,0.8771331058020477,0.8873720136518771,0.12286689419795221,0.11262798634812286
ColSampling_GB7_smf_col-0.4-fbs_24=367.pickle,0.8890784982935154,0.889267461669506,0.8877551020408163,0.8907849829351536,0.8873720136518771,0.8907849829351536,0.11262798634812286,0.10921501706484642
ColSampling_GB7_smf_col-0.4-fls_56=371.pickle,0.8737201365187713,0.8745762711864408,0.8686868686868687,0.8805460750853242,0.8668941979522184,0.8805460750853242,0.13310580204778158,0.11945392491467577
ColSampling_GB7_smf_col-0.6-fbs_32=537.pickle,0.8890784982935154,0.8896434634974533,0.8851351351351351,0.89419795221843,0.8839590443686007,0.89419795221843,0.11604095563139932,0.10580204778156997
ColSampling_GB7_smf_col-0.6-fls_114=526.pickle,0.8873720136518771,0.888135593220339,0.8821548821548821,0.89419795221843,0.8805460750853242,0.89419795221843,0.11945392491467577,0.10580204778156997
ColSampling_GB7_smf_col-0.8-fbs_45=754.pickle,0.8873720136518771,0.887372013651877,0.8873720136518771,0.8873720136518771,0.8873720136518771,0.8873720136518771,0.11262798634812286,0.11262798634812286
ColSampling_GB7_smf_col-0.8-fls_192=791.pickle,0.8856655290102389,0.8858603066439523,0.8843537414965986,0.8873720136518771,0.8839590443686007,0.8873720136518771,0.11604095563139932,0.11262798634812286
ColSampling_GB5_smf_col-0.2-fbs_25=326.pickle,0.8839590443686007,0.8839590443686007,0.8839590443686007,0.8839590443686007,0.8839590443686007,0.8839590443686007,0.11604095563139932,0.11604095563139932
ColSampling_GB5_smf_col-0.2-fls_30=419.pickle,0.7406143344709898,0.6872427983539094,0.8652849740932642,0.5699658703071673,0.9112627986348123,0.5699658703071673,0.08873720136518772,0.4300341296928328
ColSampling_GB5_smf_col-0.4-fbs_31=711.pickle,0.8873720136518771,0.8877551020408163,0.8847457627118644,0.8907849829351536,0.8839590443686007,0.8907849829351536,0.11604095563139932,0.10921501706484642
ColSampling_GB5_smf_col-0.4-fls_54=779.pickle,0.8822525597269625,0.8820512820512821,0.8835616438356164,0.8805460750853242,0.8839590443686007,0.8805460750853242,0.11604095563139932,0.11945392491467577
ColSampling_GB5_smf_col-0.6-fbs_39=989.pickle,0.8907849829351536,0.8904109589041096,0.8934707903780069,0.8873720136518771,0.89419795221843,0.8873720136518771,0.10580204778156997,0.11262798634812286
