hop1_reduction,hop1_time,hop2_reduction,hop2_time,eval_time,keep_frac,acc,f1
Agg_GB0_1,257,,,263,0.0637050730745046,0.8805460750853242,0.8813559322033899
Agg_GB0_2,259,,,356,0.0861510462334023,0.8890784982935154,0.8900169204737733
Agg_GB0_3,266,,,536,0.13104299255119772,0.8839590443686007,0.8855218855218854
Agg_GB1_1,197,,,126,0.04748698190794171,0.8839590443686007,0.8847457627118643
Agg_GB1_2,194,,,164,0.06426843220135299,0.8856655290102389,0.88663282571912
Agg_GB1_3,202,,,245,0.09783133278817555,0.8873720136518771,0.8885135135135136
Agg_GB2_1,200,,,161,0.05037872396573169,0.8447098976109215,0.8465430016863407
Agg_GB2_2,205,,,207,0.06802793095343025,0.8395904436860068,0.8395904436860068
Agg_GB2_3,209,,,314,0.10332634492882738,0.841296928327645,0.8447412353923205
ColSampling_GB3_smf_col-0.2-fbs,32,,,293,0.21739130434782608,0.8856655290102389,0.8858603066439523
ColSampling_GB3_smf_col-0.2-fls,37,,,318,0.21739130434782608,0.8856655290102389,0.88663282571912
ColSampling_GB3_smf_col-0.4-fbs,39,,,624,0.4260869565217391,0.8873720136518771,0.8885135135135136
ColSampling_GB3_smf_col-0.4-fls,65,,,620,0.42585134692475135,0.8890784982935154,0.8896434634974533
ColSampling_GB3_smf_col-0.6-fbs,51,,,800,0.6304347826086957,0.8805460750853242,0.8825503355704698
ColSampling_GB3_smf_col-0.6-fls,103,,,778,0.569813492223281,0.8839590443686007,0.8843537414965986
ColSampling_GB3_smf_col-0.8-fbs,65,,,905,0.8391304347826087,0.8873720136518771,0.886986301369863
ColSampling_GB3_smf_col-0.8-fls,166,,,873,0.619302709844761,0.8839590443686007,0.8847457627118643
ColSampling_GB4_smf_col-0.2-fbs,24,,,254,0.21739130434782608,0.8822525597269625,0.8824531516183987
ColSampling_GB4_smf_col-0.2-fls,27,,,376,0.21739130434782608,0.5443686006825939,0.675577156743621
ColSampling_GB4_smf_col-0.4-fbs,28,,,471,0.4260869565217391,0.8873720136518771,0.887372013651877
ColSampling_GB4_smf_col-0.4-fls,60,,,604,0.4260869565217391,0.8873720136518771,0.888135593220339
ColSampling_GB4_smf_col-0.6-fbs,38,,,780,0.6304347826086957,0.8890784982935154,0.889267461669506
ColSampling_GB4_smf_col-0.6-fls,98,,,807,0.6304347826086957,0.8907849829351536,0.8915254237288135
ColSampling_GB4_smf_col-0.8-fbs,49,,,951,0.8391304347826087,0.8805460750853242,0.8809523809523809
ColSampling_GB4_smf_col-0.8-fls,162,,,1012,0.838244537124674,0.8907849829351536,0.891156462585034
ColSampling_GB7_smf_col-0.2-fbs,17,,,196,0.21739130434782608,0.8856655290102389,0.8862478777589136
ColSampling_GB7_smf_col-0.2-fls,24,,,197,0.21739130434782608,0.8822525597269625,0.8828522920203735
ColSampling_GB7_smf_col-0.4-fbs,24,,,367,0.4260869565217391,0.8890784982935154,0.889267461669506
ColSampling_GB7_smf_col-0.4-fls,56,,,371,0.4260869565217391,0.8737201365187713,0.8745762711864408
ColSampling_GB7_smf_col-0.6-fbs,32,,,537,0.6304347826086957,0.8890784982935154,0.8896434634974533
ColSampling_GB7_smf_col-0.6-fls,114,,,526,0.6304347826086957,0.8873720136518771,0.888135593220339
ColSampling_GB7_smf_col-0.8-fbs,45,,,754,0.8391304347826087,0.8873720136518771,0.887372013651877
ColSampling_GB7_smf_col-0.8-fls,192,,,791,0.8391304347826087,0.8856655290102389,0.8858603066439523
ColSampling_GB5_smf_col-0.2-fbs,25,,,326,0.21739130434782608,0.8839590443686007,0.8839590443686007
ColSampling_GB5_smf_col-0.2-fls,30,,,419,0.21739130434782608,0.7406143344709898,0.6872427983539094
ColSampling_GB5_smf_col-0.4-fbs,31,,,711,0.4260869565217391,0.8873720136518771,0.8877551020408163
ColSampling_GB5_smf_col-0.4-fls,54,,,779,0.42585134692475135,0.8822525597269625,0.8820512820512821
ColSampling_GB5_smf_col-0.6-fbs,39,,,989,0.6304347826086957,0.8907849829351536,0.8904109589041096
ColSampling_GB5_smf_col-0.6-fls,98,,,947,0.6290918079058654,0.8856655290102389,0.8862478777589136
ColSampling_GB5_smf_col-0.8-fbs,51,,,1123,0.8391304347826087,0.8771331058020477,0.8795986622073578
ColSampling_GB5_smf_col-0.8-fls,159,,,1138,0.7992011009419229,0.8890784982935154,0.8896434634974533
Agg_GB0_1,257,ColSampling_GB3_smf_col-0.2-fbs,19.0,58,0.012885169790084527,0.8805460750853242,0.8805460750853242
Agg_GB0_1,257,ColSampling_GB3_smf_col-0.2-fls,18.0,52,0.012856425697915057,0.8805460750853242,0.8809523809523809
Agg_GB0_1,257,ColSampling_GB3_smf_col-0.4-fbs,28.0,112,0.025493975514157684,0.8822525597269625,0.8824531516183987
Agg_GB0_1,257,ColSampling_GB3_smf_col-0.4-fls,17.0,97,0.025038054920861787,0.878839590443686,0.8786324786324786
Agg_GB0_1,257,ColSampling_GB3_smf_col-0.6-fbs,97.0,160,0.03800770141032756,0.8805460750853242,0.8817567567567568
Agg_GB0_1,257,ColSampling_GB3_smf_col-0.6-fls,18.0,133,0.034700403100014814,0.8873720136518771,0.886986301369863
Agg_GB0_1,257,ColSampling_GB3_smf_col-0.8-fbs,145.0,215,0.050743312748959296,0.8822525597269625,0.8832487309644671
Agg_GB0_1,257,ColSampling_GB3_smf_col-0.8-fls,18.0,152,0.041099885789954674,0.8856655290102389,0.8858603066439523
