,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
kurtosis_std,25706.517921973747,11263.881720078372,1508.09675899858,759.2469772063574,31929.185526855497,15286.398840620219,353.3045858576606,7.795649799107809,15064.132923897605,3337.4975991384404,1424.1684970387344,835.5933169032731,353.3045858576606,7.795649799107809,759.2469772063574
kurtosis_mean,8693.401160476316,5218.21224825488,780.2494524339651,540.7224315767417,10699.040201289032,5828.800120783437,242.17560806992938,2.743081968813221,8018.334327060439,1733.675286524436,885.7232521186477,502.8698316770749,242.17560806992938,2.743081968813221,540.7224315767417
skewness_max,394.9955696035207,243.0781767626739,102.92715916787516,46.57252903394615,494.34906695433943,256.7936915411402,41.085284369418275,5.003702332976761,243.0781767626739,125.40733656197374,76.47875633739237,54.981818181822504,41.085284369418275,5.003702332976761,46.57252903394615
skewness_min,-68.15775853591461,-70.57611065242158,-3.432491368134508,0.0,0.0,-55.951246131333235,0.0,0.0,0.0,-57.6422176343929,0.0,-3.8149171421728396,0.0,0.0,0.0
skewness_std,78.04154159237137,55.380086990916155,20.98937952929319,16.990623260195346,81.75056910068861,61.69336468142703,11.437244160284667,1.519071050122255,67.35784615602303,31.460048800614217,20.03975041846004,16.034947041082468,11.437244160284667,1.519071050122255,16.990623260195346
skewness_mean,48.349225098604315,44.245103237821645,17.937104295726392,15.66940462577083,61.50952879986817,43.89472567528467,10.394768548974705,0.5481679299837617,57.55239175474902,26.629588230231214,21.58658002601938,15.332526847471739,10.394768548974705,0.5481679299837617,15.66940462577083
std_col_max,0.45746775267557005,0.46138492972683975,0.31780461705778806,0.4056195558704506,0.47332085463880547,0.3619389399747779,0.39767509558067093,0.4987228587060335,0.4758291741395857,0.3670300299330197,0.2969686865884436,0.36716905289649354,0.39767509558067093,0.4987228587060335,0.4056195558704506
std_col_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std_col_std,0.08546550008309536,0.07063496580903551,0.07025880912794898,0.0658860542739342,0.06802597455072491,0.061243952066384014,0.061290904302738224,0.08806237746181342,0.06814993671145615,0.06191347570977622,0.06431073421344968,0.05719643592446457,0.061290904302738224,0.08806237746181342,0.0658860542739342
std_col_mean,0.05152745087520461,0.044465845656408674,0.06634612440988522,0.04321717972396998,0.043932538687468305,0.0386154946005337,0.045719738241214135,0.03154992954613792,0.04334706971089811,0.03735220853846574,0.05484231670848904,0.04844344004560929,0.045719738241214135,0.03154992954613792,0.04321717972396998
mean_col_max,0.9768521603176148,0.9768552945076178,0.875783283789836,0.37310250952224255,0.7795426263418092,0.9770100873473467,0.19692489651094028,0.4642857142857143,0.7796200510534917,0.9770079835390751,0.5729354048380464,0.8769981267800524,0.19692489651094028,0.4642857142857143,0.37310250952224255
mean_col_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_col_std,0.12496921089909423,0.09957972501977516,0.10458752674532378,0.04036448516960328,0.0762127316410689,0.0847822376501242,0.020470194427796594,0.057213724429472854,0.07668777611368306,0.084987122302433,0.050780485942223175,0.07478110094594614,0.020470194427796594,0.057213724429472854,0.04036448516960328
mean_col_mean,0.027112093044888968,0.017821594201969354,0.023267792531869003,0.010307173394717829,0.01432850966115946,0.013566668512121984,0.0070838984271605334,0.012356499289779617,0.014362448557983623,0.013631451494418164,0.012311218970114014,0.012808467235261514,0.0070838984271605334,0.012356499289779617,0.010307173394717829
median_col_max,0.9761388338093636,0.9761388338093636,0.8720933207132077,0.3623262338987374,0.773196343925064,0.9761388338093636,0.0,0.0,0.773196343925064,0.9761388338093636,0.5649715056336189,0.8720933207132077,0.0,0.0,0.3623262338987374
median_col_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
median_col_std,0.11583454472059825,0.09142019820644896,0.10348787412182567,0.03029849048184311,0.06465632315643122,0.08162680589503264,0.0,0.0,0.06465632315643122,0.08162680589503264,0.04724411920649619,0.07292629874626409,0.0,0.0,0.03029849048184311
median_col_mean,0.01394484048299091,0.0086383967593749,0.012458476010188681,0.0025515931964699818,0.00544504467552862,0.006874217139502561,0.0,0.0,0.00544504467552862,0.006874217139502561,0.00397867257488464,0.006141502258543716,0.0,0.0,0.0025515931964699818
