name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m141_gpu0,gpu,utilization,91.0,91.8,93.2,91.466666667,92.25,91.2,94.85,94.733333333,92.3,93.7,82.683333333,91.466666667,88.5,84.433333333
m141_gpu1,gpu,utilization,66.083333333,53.0,73.6,97.9,91.5,89.1,78.583333333,79.816666667,64.4,22.5,76.983333333,78.533333333,75.25,92.7
m141_gpu4,gpu,utilization,76.983333333,59.733333333,53.866666667,73.733333333,87.25,91.6,91.016666667,89.966666667,70.0,11.1,44.65,70.133333333,83.75,70.316666667
m141_gpu6,gpu,utilization,65.816666667,72.6,49.533333333,92.9,85.25,82.4,83.266666667,89.283333333,63.0,9.6,49.283333333,89.533333333,82.0,84.966666667
