name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m221_gpu1,gpu,utilization,73.533333333,76.583333333,41.666666667,39.45,69.1,63.5,69.533333333,81.266666667,80.5,73.2,73.733333333,81.266666667,81.9,61.95
m221_gpu3,gpu,utilization,79.866666667,73.35,56.733333333,58.083333333,64.233333333,66.5,62.666666667,66.466666667,77.5,71.266666667,65.6,73.333333333,77.8,64.25
m221_gpu6,gpu,utilization,78.533333333,74.866666667,43.266666667,45.583333333,71.583333333,68.5,60.0,67.933333333,77.0,70.666666667,74.533333333,82.0,77.35,40.966666667
m221_gpu7,gpu,utilization,74.466666667,70.383333333,42.466666667,45.166666667,68.1,61.0,65.0,76.266666667,77.0,71.666666667,73.2,78.0,76.45,52.266666667
