name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m381_gpu0,gpu,utilization,98.616666667,99.0,95.5,96.3,95.033333333,92.0,95.0,97.6,98.0,98.566666667,99.0,99.55,99.0,97.516666667
m381_gpu4,gpu,utilization,98.616666667,99.0,97.25,97.65,93.9,93.966666667,98.2,98.4,98.0,98.566666667,99.0,99.55,99.0,97.033333333
m381_gpu5,gpu,utilization,98.616666667,99.0,98.416666667,98.55,96.733333333,96.133333333,98.2,97.8,97.566666667,98.566666667,99.0,99.55,99.0,97.033333333
m381_gpu7,gpu,utilization,98.616666667,99.633333333,97.083333333,97.75,92.066666667,90.533333333,97.0,98.4,98.0,98.566666667,99.0,99.55,99.0,97.516666667
