name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m92_gpu2,gpu,utilization,59.8,64.166666667,68.0,58.433333333,48.733333333,58.8,63.083333333,62.166666667,55.633333333,56.233333333,68.583333333,59.833333333,50.066666667,58.75
m92_gpu5,gpu,utilization,63.5,58.3,63.2,71.066666667,50.266666667,17.2,2.0,34.083333333,68.9,61.0,45.666666667,40.033333333,38.066666667,36.416666667
m92_gpu6,gpu,utilization,51.8,28.533333333,44.8,63.85,54.866666667,20.8,2.0,45.166666667,73.166666667,47.766666667,41.083333333,50.7,57.333333333,46.5
m92_gpu7,gpu,utilization,53.7,51.5,64.8,45.933333333,33.6,15.8,1.5833333333,21.833333333,43.366666667,46.166666667,60.916666667,47.5,38.666666667,57.816666667
