name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m38_gpu0,gpu,utilization,88.233333333,89.666666667,85.6,82.3,88.033333333,90.016666667,90.016666667,91.0,90.016666667,93.733333333,94.0,92.066666667,83.45,90.35
m38_gpu1,gpu,utilization,45.483333333,86.0,75.1,74.3,43.233333333,82.05,82.05,88.0,55.55,70.866666667,67.25,78.6,75.2,56.825
m38_gpu3,gpu,utilization,69.483333333,57.166666667,48.4,51.2,37.633333333,79.916666667,79.916666667,78.0,88.816666667,76.866666667,38.95,48.6,56.6,49.758333333
m38_gpu5,gpu,utilization,39.133333333,78.333333333,81.8,80.1,82.2,89.016666667,89.016666667,67.0,60.116666667,85.2,76.55,81.8,63.95,78.183333333
