name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m115_gpu2,gpu,utilization,67.1,33.75,53.516666667,53.516666667,34.216666667,34.216666667,55.0,34.833333333,58.85,56.533333333,62.45,33.1,35.05,18.933333333
m115_gpu5,gpu,utilization,67.5,30.166666667,60.866666667,60.866666667,44.366666667,44.366666667,26.0,11.466666667,54.4,61.533333333,53.35,23.333333333,59.45,13.1
m115_gpu6,gpu,utilization,68.7,32.25,55.45,55.45,38.95,38.95,10.433333333,41.766666667,63.5,54.066666667,52.75,11.4,50.85,30.466666667
m115_gpu7,gpu,utilization,65.0,23.166666667,56.45,56.45,38.566666667,38.566666667,43.4,2.8333333333,56.4,63.866666667,60.35,30.133333333,60.2,9.0333333333
