name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m58_gpu3,gpu,utilization,94.833333333,95.816666667,26.833333333,82.333333333,13.8,87.5,95.0,94.133333333,94.0,94.883333333,95.0,95.883333333,94.233333333,34.5
m58_gpu4,gpu,utilization,94.0,94.0,24.0,81.933333333,19.2,87.083333333,94.0,95.733333333,93.35,93.883333333,94.0,94.0,94.0,33.65
m58_gpu5,gpu,utilization,94.833333333,94.183333333,26.5,82.333333333,9.3,86.166666667,94.0,94.0,93.116666667,93.883333333,95.7,95.116666667,94.116666667,24.3
m58_gpu6,gpu,utilization,95.833333333,96.816666667,24.5,81.933333333,11.1,87.25,45.533333333,87.533333333,93.233333333,94.766666667,95.85,96.0,95.116666667,29.55
