name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m2_gpu0,gpu,utilization,89.366666667,89.416666667,63.55,25.783333333,90.5,89.233333333,89.783333333,89.933333333,93.0,92.8,92.166666667,92.883333333,91.6,89.133333333
m2_gpu1,gpu,utilization,91.633333333,93.0,63.55,26.066666667,91.5,90.466666667,92.0,70.533333333,21.7,92.8,92.166666667,92.65,90.266666667,91.6
m2_gpu2,gpu,utilization,90.683333333,90.0,61.5,26.066666667,92.0,92.0,91.783333333,91.0,91.466666667,92.8,91.833333333,90.883333333,90.0,90.133333333
m2_gpu3,gpu,utilization,93.0,92.716666667,62.866666667,26.066666667,91.5,90.7,92.783333333,70.533333333,21.233333333,91.0,91.0,91.0,91.0,91.133333333
