name,machine_type,trace,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3
m183_gpu0,gpu,utilization,37.533333333,67.9,97.1,11.666666667,86.666666667,25.2,63.233333333,60.666666667,70.45,98.55,3.3333333333,16.716666667,11.0,79.833333333
m183_gpu1,gpu,utilization,71.066666667,37.5,30.4,91.833333333,84.4,14.0,0.23333333333,55.066666667,90.35,33.1,97.666666667,4.6166666667,2.0,0.033333333333
m183_gpu2,gpu,utilization,0.0,43.2,55.2,6.5333333333,0.0,85.0,48.766666667,3.7333333333,1.0,1.0,0.033333333333,98.333333333,83.0,6.3
m183_gpu3,gpu,utilization,57.266666667,59.0,34.7,3.7333333333,0.0,85.0,11.666666667,48.533333333,70.05,97.6,3.3,0.0,8.0,65.033333333
