,IncidentId,EntityType,Tier,SoftwareErrors_mv,DefaultRouteMismatch_mv,LdpDown_pers_1h,PhynetInterfaceErrorsCountThreshold_pers_1h,LineCardDown_pers_1h,DeviceDownFlood_pers_1h,DupDeviceName_mv,ISISDown_mv,VoltageError_pers_1h,NoGoldConfig_mv,HighInterfaceLinkUtilization_pers_1h,NetscanPayloadAlertPodSetPaths_pers_1h,BadOSVersion_pers_1h,HighInterfaceUtilT3WAN_pers_1h,VRRPStateChange_mv,PhynetPktDiscards_pers_1h,HAIneligible_pers_1h,VoltageError_mv,DupManagementIP_mv,IBUFMTimeDifference_pers_1h,GraphMissingSerialConsole_mv,IBLinkErrorRecovery_mv,DeviceDownFlood_mv,SpanTreeErrors_mv
0,223,cluster_switch,t0,0.876026844123488,0.5857509158238315,0.9920949629831496,0.9159037982630184,0.9690033060757908,,,,,,,,,,,,,,,,,,,
1,237,cluster_switch,t0,0.9959401035074684,0.8946091272785793,0.7590042839490159,0.3763413358676457,0.8322959932012927,,,,,,,,,,,,,,,,,,,
2,237,cluster_switch,t0,0.6663041897157819,0.2559140017322805,0.1516714930502939,0.9603326967912592,0.2139644050787614,,,,,,,,,,,,,,,,,,,
3,155,cluster_switch,t0,0.8737359912552356,0.9688777769155796,0.9702571881374336,0.0021316126306611,0.015892634080823,,,,,,,,,,,,,,,,,,,
4,141,cluster_switch,t0,0.0906666172118487,0.0019110083380937,0.6527377064651761,0.2432549293730084,0.0645993477684304,,,,,,,,,,,,,,,,,,,
5,169,cluster_switch,t0,0.2309474643782444,0.1519346029730959,0.3820318007856185,0.7541057439720686,0.6279145083498674,,,,,,,,,,,,,,,,,,,
6,169,cluster_switch,t0,0.0589532724088303,0.2234302045185947,0.0462599448675695,0.1360100264795959,0.1780876330155906,,,,,,,,,,,,,,,,,,,
7,223,cluster_switch,t1,0.9093614288780962,,,,,0.8055898165965895,0.9238946759120656,0.0320631199925284,,,,,,,,,,,,,,,,
8,223,cluster_switch,t1,0.8107908817055911,,,,,0.9881931757077856,0.9464681752959228,0.9433042619417764,,,,,,,,,,,,,,,,
9,155,cluster_switch,t1,0.1025394457929795,,,,,0.127795127416711,0.0004468139264459,0.8990580079517894,,,,,,,,,,,,,,,,
10,141,cluster_switch,t1,0.9254407883549152,,,,,0.9109917076594432,0.2870594453153692,0.5777971882962973,,,,,,,,,,,,,,,,
11,169,cluster_switch,t1,0.0180948609574476,,,,,0.0922119363752217,0.2141021345072951,0.005232974038406,,,,,,,,,,,,,,,,
12,223,switch,t0,,,,,,,,,0.9561130600522884,0.2465873317137749,0.2445464721277823,0.4708340424216748,0.9332232160811956,,,,,,,,,,,
13,237,switch,t0,,,,,,,,,0.1393847065011152,0.9202991241089556,0.830774073770786,0.9534177840142284,0.3796795381979031,,,,,,,,,,,
14,237,switch,t0,,,,,,,,,0.0875128904561314,0.7242208096894752,0.0225403236940835,0.9215878951977876,0.7872086904802774,,,,,,,,,,,
15,155,switch,t0,,,,,,,,,0.9286148342014549,0.9919187497851096,0.7676757058674725,0.8629151246597024,0.1397996354687906,,,,,,,,,,,
16,155,switch,t0,,,,,,,,,0.0643804687340832,0.0719565712669215,0.1540830454962911,0.1266596089735396,0.9736287473183614,,,,,,,,,,,
17,141,switch,t0,,,,,,,,,0.7561298193146081,0.6510310805605091,0.9604948586163587,0.8615819241475126,0.26685904656247,,,,,,,,,,,
18,141,switch,t0,,,,,,,,,0.9192898155488948,0.9020861008625344,0.9508770141660516,0.1230794035975115,0.9478401453731372,,,,,,,,,,,
19,223,switch,t1,,,,,,,,,,,,,,0.0380766791058985,0.040527002110652,,,,,,,,,
20,223,switch,t1,,,,,,,,,,,,,,0.8771490377986615,0.9754703089640828,,,,,,,,,
21,237,switch,t1,,,,,,,,,,,,,,0.9975426422122444,0.8170055480349668,,,,,,,,,
22,223,tor_switch,t0,,0.1883773184081337,,,,,,,,,,,,,,0.08899906145717,0.0231788069635728,0.0722755712842115,0.9012378916366868,0.1104417029589699,0.0120500989590226,0.1599575404115619,0.2668455939948593,0.0704104426496105
23,223,tor_switch,t0,,0.2119031795587603,,,,,,,,,,,,,,0.1312152623749035,0.2403832631695055,0.0450518262390814,0.9768695094915336,0.315130788161142,0.7098308809775044,0.4955973562159359,0.0045900971546374,0.9397067698162548
24,223,tor_switch,t0,,0.3947184291438312,,,,,,,,,,,,,,0.0067546962150493,0.1335967046466851,0.579496593341577,0.1758226737099273,0.4053071249228435,0.8859153841593571,0.0395587033300031,0.7019646448041084,0.4661029545290791
25,237,tor_switch,t0,,0.9456209522756162,,,,,,,,,,,,,,0.8839858741746887,0.0930421716756734,0.4204008336697443,0.5042656751815938,0.6248102766386434,0.0145049992377165,0.9640955673857676,0.0811739733132944,0.1070073720285764
26,155,tor_switch,t0,,0.3735608912463308,,,,,,,,,,,,,,0.0354032469304902,0.9577292450723488,0.0035441653952972,0.0693510755264295,0.9784618640108728,0.8100165833781998,0.442311187495887,0.9562218503499912,0.4687511706508283
27,155,tor_switch,t0,,0.070209502232087,,,,,,,,,,,,,,0.0671131856170818,0.4152476764193452,0.0280212868766571,0.4156919035002165,0.921849634025596,0.8900367596202824,0.7974484327517832,0.9741930152268996,0.6299566030958224
28,141,tor_switch,t0,,0.9588096783606602,,,,,,,,,,,,,,0.7053026459362797,0.7933951922190594,0.53978170300535,0.3472690361556197,0.994349579004018,0.8451416506222216,0.9891971223424476,0.5548903410158665,0.0299480874848457
29,141,tor_switch,t0,,0.9745196928318484,,,,,,,,,,,,,,0.73806898241526,0.6708202474191856,0.168212826012869,0.2720694786913826,0.9197742233970184,0.7882816742933714,0.0067304830796606,0.4000646070676074,0.2549016553601273
30,141,tor_switch,t0,,0.6337307767669698,,,,,,,,,,,,,,0.4598287698070521,0.9745122977800826,0.1107758251494066,0.0211827553293042,0.9557290033934938,0.5807565466416927,0.2972362458252119,0.2857822728858449,0.0079847798951518
31,141,tor_switch,t0,,0.7870830508695265,,,,,,,,,,,,,,0.9415619516876288,0.2398273667921865,0.9172457787489592,0.9709332370767568,0.0305509554960025,0.2519708141628183,0.084115249664973,0.0341257389993039,0.0042015299466272
32,141,tor_switch,t0,,0.2812251656406414,,,,,,,,,,,,,,0.4811588717286812,0.0962296692437998,0.9377512413330612,0.2280583278729597,0.5628602884290224,0.8371680506853564,0.5107079214991437,0.8684260118481134,0.929189420127542
33,169,tor_switch,t0,,0.7721054354459176,,,,,,,,,,,,,,0.9905749642098112,0.4715485582709598,0.9071633783065634,0.0700076933235378,0.339061414652778,0.2476679574657602,0.927609950903003,0.2104141548004662,0.1590386146253347
34,169,tor_switch,t0,,0.1288427895481546,,,,,,,,,,,,,,0.9789173670386748,0.7886928274224612,0.9902568831504605,0.7225254038862451,0.6159533816502815,0.9770318959104202,0.0495292789280077,0.8710208859022226,0.9241778978389606
